timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
6.0,31.0,Front-left,11.04,6.81,6.53,5.2,-10.76,-7.03,-0.08,0.36,0.61,0.74,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,325.0,Behind,-7.46,-0.05,-2.95,0.0,6.86,0.08,-0.48,0.14,0.43,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,344.0,Behind,-28.84,-0.43,-24.33,0.0,11.92,0.48,-0.11,0.05,2.04,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,350.0,Front-left,20.44,18.35,15.93,16.74,-2.08,7.12,0.12,3.4,7.67,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,31.0,Front-left,9.74,6.47,5.23,4.86,-11.08,-6.61,-0.63,0.29,0.47,0.73,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,325.0,Behind,-6.78,-0.22,-2.27,0.0,7.0,0.31,-0.51,0.17,0.32,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,344.0,Behind,-27.63,-1.16,-23.12,0.0,11.97,0.81,0.03,0.04,1.93,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,350.0,Front-left,19.69,19.61,15.18,18.0,-2.1,6.78,-0.09,3.47,7.21,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,31.0,Front-left,8.59,5.94,4.08,4.33,-11.33,-5.75,-0.93,0.29,0.36,0.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,325.0,Behind,-6.08,-0.21,-1.58,0.0,7.12,0.34,-0.45,0.16,0.22,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,344.0,Behind,-26.44,-1.17,-21.93,0.0,12.06,0.83,-0.38,0.15,1.82,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,350.0,Front-left,19.4,20.34,14.89,18.73,-1.92,6.45,-0.24,3.52,7.76,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,31.0,Front-left,7.46,5.38,2.95,3.77,-11.89,-5.0,1.16,-0.25,0.25,0.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,325.0,Behind,-5.39,-0.14,-0.88,0.0,7.03,0.26,1.15,-0.34,0.13,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,344.0,Behind,-25.25,-0.89,-20.75,0.0,11.99,0.68,1.16,-0.34,1.73,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,350.0,Front-left,19.37,20.81,14.86,19.2,-1.89,6.12,1.62,2.95,7.85,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,31.0,Front-left,6.26,4.98,1.75,3.37,-12.5,-4.2,1.81,-0.65,0.14,0.8,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,325.0,Behind,-4.68,-0.12,-0.17,0.0,6.71,0.26,1.9,-0.59,0.03,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,344.0,Behind,-24.05,-0.86,-19.54,0.0,11.65,0.67,2.52,-0.75,1.68,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,350.0,Front-left,19.15,21.44,14.64,19.83,-2.19,5.79,2.75,2.61,6.68,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,31.0,Front-left,4.98,4.66,0.47,3.05,-13.21,-3.67,2.96,-0.91,0.04,0.83,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,325.0,Collision,-3.99,-0.12,0.0,0.0,6.22,0.32,2.32,-0.75,0.0,0.0,Exact longitudinal alignment or co. Exact lateral alignment or unknown case.
11.0,344.0,Behind,-22.86,-0.97,-18.35,0.0,11.06,0.72,3.58,-1.09,1.66,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
11.0,350.0,Front-left,18.78,22.15,14.27,20.54,-2.73,5.46,3.59,2.28,5.23,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,31.0,Left,3.72,4.35,0.0,2.74,-13.67,-2.82,0.47,-0.15,0.0,0.97,Exact longitudinal alignment or co. Obstacle is driving toward the ego car laterally from the left.
12.0,325.0,Collision,-3.34,-0.07,0.0,0.0,6.11,0.24,-0.03,-0.01,0.0,0.0,Exact longitudinal alignment or co. Exact lateral alignment or unknown case.
12.0,344.0,Behind,-21.74,-0.72,-17.23,0.0,10.79,0.57,0.85,-0.24,1.6,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
12.0,350.0,Front-left,18.72,22.52,14.22,20.91,-2.86,5.14,1.16,3.0,4.98,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
