timestep,obstacle_id,relative_direction,d_long,d_lat,adjusted_d_long,adjusted_d_lat,v_rel_long,v_rel_lat,a_rel_long,a_rel_lat,ttc_long,ttc_lat,motion_description
3.0,338.0,Behind,-35.92,-0.11,-31.41,0.0,0.73,0.05,-3.46,-2.3,43.11,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,30.0,Front-left,36.59,14.33,32.08,12.72,-5.42,-0.59,-2.06,-0.7,5.91,21.58,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,33.0,Front-left,39.6,45.13,35.09,43.52,-5.6,-1.2,-1.83,-0.94,6.26,36.25,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
4.0,315.0,Front-left,37.81,3.73,33.3,2.12,-6.99,0.11,-1.45,-0.98,4.76,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,317.0,Front-left,43.02,1.69,38.51,0.08,-7.52,0.19,-1.22,-0.87,5.12,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
4.0,320.0,Front,49.98,0.85,45.47,0.0,-7.27,0.02,-1.41,-0.93,6.26,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,324.0,Front,29.11,-0.66,24.61,0.0,4.97,-0.54,-2.83,-1.79,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
4.0,325.0,Front,57.12,0.08,52.61,0.0,-5.91,0.07,-1.4,-0.99,8.91,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
4.0,329.0,Front-right,70.57,-2.14,66.06,-0.53,-5.73,0.05,-1.44,-1.01,11.53,11.7,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
4.0,333.0,Behind,-21.81,-0.04,-17.3,0.0,4.27,0.04,-3.49,-2.31,4.05,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
4.0,338.0,Behind,-35.85,-0.11,-31.35,0.0,1.37,0.05,-3.39,-2.25,22.96,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,30.0,Front-left,36.01,14.3,31.51,12.69,-5.01,-0.64,-2.03,-0.68,6.29,19.71,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,33.0,Front-left,38.98,45.04,34.47,43.43,-5.19,-1.22,-1.8,-0.92,6.64,35.51,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
5.0,315.0,Front-left,37.09,3.77,32.58,2.16,-6.62,0.11,-1.42,-0.96,4.92,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,317.0,Front-left,42.24,1.75,37.73,0.14,-7.17,0.2,-1.2,-0.85,5.27,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
5.0,320.0,Front,49.23,0.89,44.72,0.0,-6.89,0.02,-1.39,-0.92,6.49,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
5.0,324.0,Front,29.6,-0.7,25.09,0.0,5.51,-0.57,-2.83,-1.78,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
5.0,325.0,Front,56.51,0.13,52.0,0.0,-5.53,0.07,-1.37,-0.97,9.4,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
5.0,329.0,Front-right,69.98,-2.08,65.47,-0.47,-5.35,0.05,-1.41,-0.99,12.24,9.36,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
5.0,333.0,Behind,-21.4,-0.06,-16.89,0.0,4.92,0.04,-3.87,-2.56,3.43,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
5.0,338.0,Behind,-35.73,-0.14,-31.22,0.0,1.95,0.05,-3.05,-2.02,15.98,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,30.0,Front-left,35.49,14.25,30.98,12.64,-4.8,-0.7,-1.24,-0.16,6.46,18.1,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,33.0,Front-left,38.42,44.93,33.91,43.32,-4.99,-1.25,-1.01,-0.39,6.8,34.78,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
6.0,315.0,Front-left,36.4,3.8,31.89,2.19,-6.44,0.12,-0.63,-0.44,4.95,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,317.0,Front-left,41.5,1.78,36.99,0.17,-7.01,0.19,-0.4,-0.33,5.27,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
6.0,320.0,Front,48.52,0.91,44.01,0.0,-6.72,0.02,-0.59,-0.39,6.55,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
6.0,324.0,Front,30.13,-0.74,25.63,0.0,5.85,-0.61,-2.04,-1.25,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
6.0,325.0,Front,55.93,0.16,51.43,0.0,-5.36,0.08,-0.58,-0.45,9.6,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
6.0,329.0,Front-right,69.42,-2.05,64.91,-0.44,-5.17,0.06,-0.62,-0.47,12.55,7.9,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
6.0,333.0,Behind,-20.91,-0.06,-16.4,0.0,5.41,0.04,-2.85,-1.88,3.03,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
6.0,338.0,Behind,-35.55,-0.15,-31.04,0.0,2.31,0.05,-2.14,-1.42,13.43,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,30.0,Front-left,34.98,14.21,30.48,12.6,-4.56,-0.75,-1.29,-0.19,6.68,16.75,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,33.0,Front-left,37.87,44.84,33.36,43.23,-4.76,-1.27,-1.06,-0.42,7.0,34.09,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
7.0,315.0,Front-left,35.74,3.85,31.23,2.24,-6.25,0.12,-0.68,-0.47,5.0,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,317.0,Front-left,40.78,1.84,36.28,0.23,-6.85,0.19,-0.45,-0.35,5.3,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
7.0,320.0,Front,47.83,0.96,43.33,0.0,-6.54,0.01,-0.64,-0.42,6.63,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
7.0,324.0,Front,30.72,-0.78,26.21,0.0,6.2,-0.63,-2.06,-1.26,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
7.0,325.0,Front,55.39,0.22,50.88,0.0,-5.17,0.09,-0.63,-0.48,9.84,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
7.0,329.0,Front-right,68.89,-1.97,64.38,-0.36,-4.98,0.06,-0.66,-0.5,12.93,6.03,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
7.0,333.0,Behind,-20.36,-0.08,-15.86,0.0,5.82,0.05,-2.11,-1.39,2.72,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
7.0,338.0,Behind,-35.32,-0.17,-30.81,0.0,2.68,0.06,-2.25,-1.49,11.48,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,30.0,Front-left,34.51,14.15,30.0,12.54,-4.3,-0.8,-1.34,-0.23,6.98,15.59,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,33.0,Front-left,37.36,44.73,32.85,43.12,-4.53,-1.29,-1.09,-0.45,7.25,33.42,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
8.0,315.0,Front-left,35.1,3.88,30.59,2.27,-6.05,0.12,-0.71,-0.49,5.06,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,317.0,Front-left,40.08,1.88,35.58,0.27,-6.67,0.2,-0.49,-0.38,5.33,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
8.0,320.0,Front,47.17,0.99,42.66,0.0,-6.34,0.01,-0.68,-0.45,6.73,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
8.0,324.0,Front,31.33,-0.82,26.82,0.0,6.56,-0.65,-2.04,-1.25,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
8.0,325.0,Front,54.86,0.26,50.35,0.0,-4.97,0.09,-0.66,-0.5,10.13,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
8.0,329.0,Front-right,68.38,-1.93,63.88,-0.32,-4.78,0.07,-0.7,-0.52,13.37,4.91,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
8.0,333.0,Behind,-19.79,-0.08,-15.28,0.0,6.15,0.05,-2.08,-1.37,2.49,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
8.0,338.0,Behind,-35.05,-0.19,-30.55,0.0,3.08,0.06,-2.21,-1.46,9.93,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,30.0,Front-left,34.04,14.13,29.53,12.52,-4.15,-0.86,-0.87,0.08,7.11,14.63,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,33.0,Front-left,36.81,44.68,32.3,43.07,-4.41,-1.31,-0.62,-0.13,7.32,32.79,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
9.0,315.0,Front-left,34.48,3.96,29.97,2.35,-5.96,0.12,-0.24,-0.18,5.03,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,317.0,Front-left,39.4,1.98,34.89,0.37,-6.61,0.2,-0.01,-0.07,5.28,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
9.0,320.0,Front,46.52,1.08,42.01,0.0,-6.26,0.01,-0.2,-0.13,6.71,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
9.0,324.0,Front,31.98,-0.83,27.48,0.0,6.8,-0.67,-1.59,-0.95,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
9.0,325.0,Front,54.34,0.37,49.84,0.0,-4.89,0.1,-0.19,-0.19,10.2,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
9.0,329.0,Front-right,67.9,-1.79,63.39,-0.18,-4.69,0.07,-0.23,-0.21,13.52,2.64,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
9.0,333.0,Behind,-19.18,-0.11,-14.67,0.0,6.44,0.07,-1.74,-1.15,2.28,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
9.0,338.0,Behind,-34.75,-0.25,-30.24,0.0,3.33,0.08,-1.57,-1.04,9.09,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,30.0,Front-left,33.62,14.04,29.12,12.43,-4.02,-0.91,-0.89,0.07,7.24,13.66,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,33.0,Front-left,36.36,44.54,31.86,42.93,-4.29,-1.34,-0.63,-0.15,7.42,32.14,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
10.0,315.0,Front-left,33.87,3.96,29.37,2.35,-5.86,0.11,-0.25,-0.19,5.01,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,317.0,Front-left,38.73,2.0,34.22,0.39,-6.54,0.2,-0.03,-0.08,5.23,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
10.0,320.0,Front,45.88,1.07,41.38,0.0,-6.17,0.01,-0.22,-0.14,6.71,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
10.0,324.0,Front,32.66,-0.9,28.16,0.0,7.05,-0.71,-1.72,-1.02,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
10.0,325.0,Front,53.85,0.38,49.34,0.0,-4.8,0.1,-0.2,-0.2,10.28,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
10.0,329.0,Front-right,67.42,-1.79,62.91,-0.18,-4.59,0.07,-0.24,-0.22,13.69,2.45,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the right.
10.0,333.0,Behind,-18.53,-0.1,-14.02,0.0,6.69,0.06,-1.58,-1.04,2.1,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
10.0,338.0,Behind,-34.42,-0.24,-29.91,0.0,3.58,0.08,-1.57,-1.04,8.37,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
11.0,30.0,Front-left,33.17,14.06,28.66,12.45,-3.88,-0.96,-0.9,0.06,7.39,12.92,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,33.0,Front-left,35.78,44.52,31.27,42.91,-4.16,-1.36,-0.65,-0.15,7.52,31.59,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
11.0,315.0,Front-left,33.27,4.09,28.76,2.48,-5.77,0.11,-0.27,-0.2,4.99,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,317.0,Front-left,38.06,2.14,33.55,0.53,-6.47,0.2,-0.05,-0.08,5.19,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
11.0,320.0,Front,45.26,1.22,40.75,0.0,-6.08,-0.04,-0.24,-0.15,6.7,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,324.0,Front,33.37,-0.86,28.86,0.0,7.32,-0.7,-1.8,-1.06,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
11.0,325.0,Front,53.36,0.56,48.85,0.0,-4.7,0.11,-0.22,-0.21,10.38,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,329.0,Front,66.96,-1.57,62.45,0.0,-4.5,0.08,-0.26,-0.23,13.89,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
11.0,333.0,Behind,-17.87,-0.15,-13.36,0.0,6.94,0.1,-1.45,-0.95,1.92,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
11.0,338.0,Behind,-34.06,-0.34,-29.55,0.0,3.83,0.1,-1.8,-1.19,7.71,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
12.0,30.0,Front-left,32.78,13.96,28.27,12.35,-3.79,-1.02,-0.82,0.11,7.47,12.14,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
12.0,33.0,Front-left,35.36,44.38,30.85,42.77,-4.07,-1.38,-0.56,-0.1,7.57,30.98,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
12.0,315.0,Front-left,32.68,4.09,28.17,2.48,-5.71,0.11,-0.18,-0.14,4.93,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,317.0,Front-left,37.4,2.16,32.9,0.55,-6.44,0.2,0.04,-0.03,5.11,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
12.0,320.0,Front,44.64,1.21,40.13,0.0,-6.03,-0.08,-0.16,-0.08,6.66,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
12.0,324.0,Front,34.11,-0.94,29.6,0.0,7.55,-0.74,-1.62,-0.95,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
12.0,325.0,Front,52.88,0.57,48.37,0.0,-4.65,0.11,-0.13,-0.15,10.4,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
12.0,329.0,Front,66.5,-1.56,61.99,0.0,-4.44,0.08,-0.17,-0.17,13.96,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
12.0,333.0,Behind,-17.17,-0.14,-12.66,0.0,7.12,0.1,0.41,0.27,1.78,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
12.0,338.0,Behind,-33.68,-0.33,-29.17,0.0,4.09,0.1,-1.43,-0.94,7.13,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
13.0,30.0,Front-left,32.36,13.93,27.85,12.32,-3.65,-1.07,-0.98,0.01,7.64,11.5,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
13.0,33.0,Front-left,34.85,44.32,30.34,42.71,-3.94,-1.4,-0.73,-0.2,7.7,30.43,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
13.0,315.0,Front-left,32.1,4.18,27.59,2.57,-5.61,0.11,-0.35,-0.25,4.91,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
13.0,317.0,Front-left,36.75,2.26,32.24,0.65,-6.37,0.19,-0.13,-0.13,5.06,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
13.0,320.0,Front,44.03,1.3,39.52,0.0,-5.93,-0.09,-0.32,-0.19,6.66,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
13.0,324.0,Front,34.86,-0.93,30.36,0.0,7.8,-0.76,-1.61,-0.95,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
13.0,325.0,Front,52.41,0.7,47.9,0.0,-4.56,0.11,-0.3,-0.26,10.51,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
13.0,329.0,Front,66.05,-1.4,61.54,0.0,-4.34,0.09,-0.34,-0.28,14.18,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
13.0,333.0,Behind,-16.46,-0.17,-11.96,0.0,6.95,0.12,2.86,1.9,1.72,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
13.0,338.0,Behind,-33.26,-0.39,-28.75,0.0,4.28,0.12,-0.1,-0.05,6.71,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
14.0,30.0,Front-left,31.97,13.87,27.46,12.26,-3.47,-1.12,-1.13,-0.08,7.92,10.9,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
14.0,33.0,Front-left,34.38,44.24,29.87,42.63,-3.78,-1.43,-0.88,-0.3,7.91,29.89,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
14.0,315.0,Front-left,31.52,4.24,27.01,2.63,-5.48,0.11,-0.5,-0.34,4.93,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
14.0,317.0,Front-left,36.1,2.34,31.59,0.73,-6.26,0.19,-0.27,-0.22,5.05,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
14.0,320.0,Front,43.42,1.37,38.92,0.0,-5.8,-0.09,-0.47,-0.28,6.71,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
14.0,324.0,Front,35.65,-0.96,31.14,0.0,8.07,-0.83,-1.65,-0.97,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
14.0,325.0,Front,51.94,0.8,47.43,0.0,-4.43,0.12,-0.44,-0.35,10.72,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
14.0,329.0,Front,65.61,-1.29,61.1,0.0,-4.21,0.09,-0.48,-0.37,14.53,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
14.0,333.0,Behind,-15.8,-0.18,-11.29,0.0,6.58,0.13,3.56,2.37,1.72,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
14.0,338.0,Behind,-32.84,-0.43,-28.33,0.0,4.26,0.13,1.18,0.8,6.65,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
15.0,30.0,Front-left,31.61,13.75,27.11,12.14,-3.36,-1.18,-0.8,0.13,8.06,10.3,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
15.0,33.0,Front-left,34.0,44.09,29.49,42.48,-3.68,-1.45,-0.54,-0.08,8.01,29.32,Obstacle is driving toward the ego car longitudinally. Obstacle is driving toward the ego car laterally from the left.
15.0,315.0,Front-left,30.96,4.25,26.45,2.64,-5.41,0.11,-0.16,-0.13,4.89,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
15.0,317.0,Front-left,35.46,2.36,30.95,0.75,-6.22,0.19,0.06,-0.01,4.98,inf,Obstacle is driving toward the ego car longitudinally. Obstacle is moving away laterally to the left.
15.0,320.0,Front,42.83,1.35,38.32,0.0,-5.74,-0.09,-0.13,-0.07,6.67,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
15.0,324.0,Front,36.45,-1.05,31.94,0.0,8.26,-0.92,-1.43,-0.81,inf,0.0,Obstacle is moving away longitudinally. Exact lateral alignment or unknown case.
15.0,325.0,Front,51.49,0.81,46.98,0.0,-4.36,0.12,-0.11,-0.13,10.77,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
15.0,329.0,Front,65.18,-1.29,60.67,0.0,-4.14,0.1,-0.15,-0.15,14.66,0.0,Obstacle is driving toward the ego car longitudinally. Exact lateral alignment or unknown case.
15.0,333.0,Behind,-15.18,-0.17,-10.67,0.0,6.18,0.12,1.99,1.32,1.73,0.0,Obstacle is driving toward the ego car from behind. Exact lateral alignment or unknown case.
